Data Center,Company,White space,Gross power
ControlCircle New York,ControlCircle,-,-
Core NAP,Core NAP,-,-
Somerset NJ,Core Services Corp,-,-
Bush Terminal Telecom Center,CoreIT,-,-
Chicago,CoreLink,-,-
CoreLink Seattle02,CoreLink,-,-
Phoenix,CoreLink,-,-
Tukwila,CoreLink,-,-
Chicago,CoreSite,16537 m²,-
Los Angeles (900),CoreSite,39391 m²,-
Los Angeles (One Wilshire),CoreSite,13843 m²,-
Miami,CoreSite,3995 m²,-
New York,CoreSite,4459 m²,-
Reston 1,CoreSite,-,-
Reston 2,CoreSite,-,-
Silicon Valley 1,CoreSite,7897 m²,-
Silicon Valley 2,CoreSite,7061 m²,-
Silicon Valley 3,CoreSite,-,-
Silicon Valley 4,CoreSite,-,-
Silicon Valley 5,CoreSite,-,-
Washington DC 1,CoreSite,2044 m²,-
7505 John W. Carpenter Freeway,CoreSpace,-,-
CoreXchange Infomart,CoreXchange,-,-
CoSentry Data Center 1,CoSentry,-,-
CoSentry Midlands,CoSentry,-,-
CoSentry Sioux Falls,CoSentry,-,-
Kansas City Data Center,CoSentry,-,-
Phoenix Data Center,"Cox Communications, Inc.",-,-
Creative Network Innovations,Creative Network Innovations (CNI),-,-
Cross Connect Solutions,Crossconnectsolutions,-,-
"Farmingdale, NY",Crown Castle,-,-
Marlborough,Crown Castle,-,-
New York ,Crown Castle,-,-
Providence,Crown Castle,-,-
Worcester,Crown Castle,-,-
CSSNW Bellingham,"CSS Integration & Communication, Inc.",-,-
Wachovia,"CXP CyberXpress, Inc.",-,-
West 2,"CXP CyberXpress, Inc.",7432 m²,-
210 N. Tucker Blvd,Cybercon,-,-
1919 w Lone Cactus Dr,CyberTrails,-,-
7th St.,CyrusOne,19695 m²,-
Aurora,CyrusOne,9941 m²,184000 kW
Austin 3,CyrusOne,11148 m²,18000 kW
Crescent,CyrusOne,-,2000 kW
Goldcoast,CyrusOne,-,-
Monroe,CyrusOne,557 m²,1000 kW
North Cincinnati,CyrusOne,8826 m²,16000 kW
Norwalk,CyrusOne,6968 m²,16000 kW
Raleigh-Durham,CyrusOne,9755 m²,50000 kW
San Antonio 1,CyrusOne,4088 m²,20000 kW
San Antonio 2,CyrusOne,18209 m²,-
Somerset,CyrusOne,9987 m²,50000 kW
Stamford,CyrusOne,1858 m²,4000 kW
Sterling 4,CyrusOne,2990 m²,12600 kW
Sterling 5,CyrusOne,92903 m²,105000 kW
Totowa,CyrusOne,4645 m²,16000 kW
Wappingers Falls,CyrusOne,3437 m²,10000 kW
West 2,CyrusOne,7432 m²,-
West 3,CyrusOne,41806 m²,-
1 First avenue,Cyxtera,4356 m²,4000 kW
14901 FAA Blvd.,Cyxtera,8957 m²,12000 kW
"14901 FAA Blvd., Building 2",Cyxtera,8382 m²,12000 kW
17836 Gilette Avenue,Cyxtera,10908 m²,19500 kW
210 Hudson Street,Cyxtera,3459 m²,3400 kW
22860 International Drive,Cyxtera,4151 m²,13600 kW
22995 Wilder Court,Cyxtera,2945 m²,4800 kW
300 Boulevard East,Cyxtera,6225 m²,12000 kW
"350 East Cermak, 4th floor",Cyxtera,3465 m²,18000 kW
"350 East Cermak, 7th floor",Cyxtera,4574 m²,8500 kW
375 Riverside Parkway,Cyxtera,56646 m²,6750 kW
