,Data Center,Company,Address,City,State,lat,lon,White space,Gross power
649,Carrier-One Datacenter,IWebFusion,1515 round table drive,Dallas,Texas,32.7762719,-96.7968559,,
650,Cogent Dallas,"Cogent Communications, Inc.",400 S. Akard St,Dallas,Texas,32.7762719,-96.7968559,,
651,ColoCrossing DFW1,ColoCrossing,3004 Irving Blvd,Dallas,Texas,32.7762719,-96.7968559,,
652,Cologix Dallas Data Centers,Cologix,1950 N. Stemmons Fwy,Dallas,Texas,32.7762719,-96.7968559,,
653,ColoGuys,"Cologuys, Inc",1950 Stemmons Freeway,Dallas,Texas,32.7762719,-96.7968559,,
654,ColoGuys,"Cologuys, Inc",8310 John Carpenter Freeway,Dallas,Texas,32.7762719,-96.7968559,,
655,CoreSpace,"CoreSpace, Inc.",7505 John W. Carpenter Freeway,Dallas,Texas,32.7762719,-96.7968559,,
656,CyrusOne Carrollton,CyrusOne Data Centers,1649 Frankfort Road West,Carrollton,Texas,32.9537349,-96.8902816,,
657,CyrusOne Dallas,CyrusOne Data Centers,2501 S. State Hwy 121 Business Suite 500 (Bldg #5),Lewsiville,Texas,NaN,NaN,,
658,CyrusOne Dallas (Downtown),CyrusOne Data Centers,2323 Bryan Street,Dallas,Texas,32.7762719,-96.7968559,,
659,Cyxtera - Dallas DFW1,Cyxtera Technologies,14901 FAA Blvd,Fort Worth,Texas,32.753177,-97.3327459,,
660,Cyxtera - Dallas DFW2,Cyxtera Technologies,14901 FAA Blvd,Fort Worth,Texas,32.753177,-97.3327459,,
661,DA1 Evocative Data Center,Evocative Data Centers,2800 Summit Ave,Plano,Texas,33.0136764,-96.6925096,,
662,Dallas,Lunavi,"1950 North Stemmons, Fwy Suite 1039A",Dallas,Texas,32.7762719,-96.7968559,,
663,DallasColo,DallasColo,1515 Round Table Dr.,Dallas,Texas,32.7762719,-96.7968559,,
664,DataBank - Downtown Dallas,DataBank,400 S. Akard,Dallas,Texas,32.7762719,-96.7968559,,
665,DataBank - North Dallas,DataBank,904 Quality Way,Dallas,Texas,32.7762719,-96.7968559,,
666,DFW VII - Garland,Stream Data Centers,1813 Lookout Drive,Garland,Texas,32.912624,-96.6388833,,
667,EarthLink - Dallas Data Center,EarthLink,2323 Bryan Street Suite 1150-A,Dallas,Texas,32.7762719,-96.7968559,,
668,Enterhost,Enterhost,"801 Cherry Street, Suite LLG50",Fort Worth,Texas,32.753177,-97.3327459,,
669,Eonix Communications Dallas,Eonix Communications Inc,1515 Round Table Drive,Dallas,Texas,32.7762719,-96.7968559,,
670,Epic.io,Epic.io,1526 Viceroy Dr,Dallas,Texas,32.7762719,-96.7968559,,
671,Equinix DA1,"Equinix, Inc",Secret location,Dallas,Texas,32.7762719,-96.7968559,,
672,Equinix DA2,"Equinix, Inc",Secret location,Dallas,Texas,32.7762719,-96.7968559,,
673,Equinix DA3,"Equinix, Inc",Secret location,Dallas,Texas,32.7762719,-96.7968559,,
674,Equinix DA4,"Equinix, Inc",Secret location,Dallas,Texas,32.7762719,-96.7968559,,
675,Farmers Branch/Addison Location,"Negma Business Solutions, Inc",4215 N. Beltwood Pkwy,Farmers Branch,Texas,32.9265137,-96.8961151,,
676,Flexential Dallas - Downtown,Flexential,1950 Stemmons Freeway,Dallas,Texas,32.7762719,-96.7968559,,
677,Flexential Dallas - Plano,Flexential,3500 E Plano Pkwy,Plano,Texas,33.0136764,-96.6925096,,
678,Flexential Dallas - Richardson,Flexential,3010 Waterview Parkway,Richardson,Texas,32.9481789,-96.7297206,,
679,GIPNetworks Plano,Plano Data Center | Global IP Networks,1009 Jupiter Rd. Suite 500,Plano,Texas,33.0136764,-96.6925096,,
680,Hivelocity - DAL1,Hivelocity,1515 Round Table Dr,Dallas,Texas,32.7762719,-96.7968559,,
681,HOSTING - Dallas,HOSTING,1807 Ross Avenue,Dallas,Texas,32.7762719,-96.7968559,,
